"Customer Login","ログイン"
"Group price must be a number greater than 0.","グループ価格は0以上の数字でなければなりません。"
"Please enter a valid number in this field.","半角数字で入力してください。"
"Percentage value must be a number between 0 and 100.","パーセンテージの値は0から100までの数字でなければならない。"
"Not allowed to edit the product's design attributes","商品のデザイン属性の編集は不可"
"The new media gallery entry failed to save.","新しいメディアギャラリーエントリーの保存に失敗しました。"
"The product doesn't exist. Verify and try again.","商品は存在しません。確認してから再度お試しください。"
"The image doesn't exist. Verify and try again.","画像が存在しません。確認してから再度お試しください。"
"The BuyRequest instance in options group is incorrect.","オプショングループのBuyRequestインスタンスは正しくありません。"
"The file upload failed. Try to upload again.","ファイルのアップロードに失敗しました。再度アップロードしてください。"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 は \Magento\Catalog\Model\Product\Type\AbstractType を継承(extends)していません。"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 は \Magento\Catalog\Model\Product\Type\Price　 を継承(extends)していません。"
"Something went wrong while adding products to websites.","商品データのWebsiteへの追加処理中にエラーが発生しました。"
"Database deadlock found when trying to get lock","ロック取得時にデータベースのデッドロックが発生した"
"There are not websites for assign to product","商品に割り当てるWebsiteがありません"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","プロセッサー %1 は WysiwygConfigDataProcessorInterfaceを実装していません。それはスキップされます。"
"Double click on a group to rename it.","名前変更する場合はグループをダブルクリックしてください。"
"You can't remove attributes from this attribute set.","属性をこの属性セットから削除できません。"
"Check items to add to the cart or","チェックした商品をカートに入れるか"
"Totals calculation is not applicable to empty cart","空のカートにて合計計算は行えません"
"You have no items in your shopping cart.","現在カートに商品が入っていません。"
"Click <a href=""%1"">here</a> to continue shopping."," <a href=""%1"">ストアへ移動する</a>"
"The CMS block with the ""%1"" ID doesn't exist.","ID ""%1"" のCMSBlock要素は存在しません。"
"A total of %1 record(s) have been disabled.","合計 %1 データが無効化されました。"
"A total of %1 record(s) have been enabled.","合計 %1 データが有効化されました。"
"The CMS page with the ""%1"" ID doesn't exist.","ID ""%1"" のCMSページは存在しません。"
"This account isn't confirmed. Verify and try again.","このアカウントは確認できません。確認して再度お試しください。"
"The ""%1"" path doesn't exist. Verify and try again.","パス ""%1""が存在しません。確認してから再度お試しください。"
"The ""test/test/test"" path does not exists","""test/test/test"" のパスが存在しません"
"The  ""%1"" path doesn't exist. Verify and try again.","""%1"" のパスが存在しません。確認してから再実行してください。"
"Add configurable attributes to the current Attribute Set (""%1"")","設定可能な属性を現在の属性セット (""%1"")に追加"
"Add configurable attributes to the existing Attribute Set","設定可能な属性を既存の属性に追加"
"The parent product doesn't have configurable product options.","親商品に設定可能な商品オプションがありません。"
"The variations from the ""%1"" product can't be deleted.","""%1"" 商品からバリエーションを削除できません。"
"This is implemented for the ""%1"" configurable product only.","これは、""Configuable Product"" ""%1"" に対してのみ実装されています。"
"Value index is not specified for an option.","オプションのための値インデックスが指定されていません。"
"Product with id ""%1"" does not contain required attribute ""%2"".","ID ""%1"" の商品は必須の属性値 ""%2""を含まれていません。"
"You can't add the item to shopping cart.","ショッピングカートに商品を追加できませんでした。"
"You need to choose options for your item.","商品のためにオプションを選択しなければなりません。"
"Add configurable attributes to the current Attribute Set","構成可能な属性を現在の属性セットに追加する"
"Apply single set of images to all SKUs","1つのセットの画像を全てのSKUに適用する"
"Apply unique images by attribute to each SKU","各SKUの属性によるユニーク画像を適用"
"Apply unique prices by attribute to each SKU","属性によるユニークプライスを各SKUに適用"
"Apply unique quantity by attribute to each SKU","属性によるユニーク数量を各SKUに適用"
"We use cookies to make your experience better.","cookieを使うことによって使い勝手がよくなります。"
"Click ""Save"" to apply the rates we found.","""保存""をクリックして取得した為替レートを適用してください。"
"Please make sure attribute ""%s"" is not empty.","属性 ""%s""は空でないことを確認してください"
"We can't find that email and website combination.","そのメールアドレスとWebsiteの組み合わせがみつかりません。"
"Please enter a password with a valid length.","パスワードを正しい長さで入力してください。"
"You have not set a default shipping address.","デフォルトのお届け先を指定してください。"
"You have not set a default billing address.","デフォルトのご請求先が指定されていません。"
"There are no items in customer's shopping cart.","カスタマーのショッピングカートに商品はありません。"
"The customer does not have default billing address.","このカスタマーはデフォルトの請求先を登録していません。"
"Something went wrong while validating the VAT ID.","VAT IDの検証処理中にエラーが発生しました。"
"The customer would belong to Customer Group %s.","カスタマーはカスタマーグループ %sに所属します"
"This confirmation key is invalid or has expired.","確認キーが無効か期限切れです。"
"We're unable to send the password reset email.","パスワードリセットEメールが送信できません。"
"Something went wrong while saving the new password.","パスワードの更新処理中にエラーが発生しました。"
"We can't change default billing address right now.","現在、デフォルトの請求先住所を変更することができません。"
"We can't change default shipping address right now.","現在、デフォルトのお届け先アドレスを変更することができません。"
"There is no such address entity to delete.","削除する住所のエンティティがありません。"
"We can't mass delete the addresses right now.","今すぐにアドレスを大量に削除することはできません。"
"Please enter a password with at most %1 characters.","%1 文字以下のパスワードを入力してください。"
"Please enter a valid date between %1 and %2 at %3.","有効な日付を%3に%1から%2の間で入力してください"
"""%1"" length must be equal or greater than %2 characters.","""%1""の長さは%2 文字数と同じかそれ以上でなければなりません"
"""%1"" length must be equal or less than %2 characters.","""%1""の長さは%2文字数と同じかそれ以下でなければなりません"
"Could not delete customer group website with ID: %1","ID:%1 を持つカスタマーグループ Web サイトを削除できませんでした。"
"The specified customer group id does not exist.","指定されたカスタマーグループIDは存在しません。"
"Could not retrieve all excluded customer group websites.","除外されたカスタマーグループのWebサイトをすべて取得できませんでした。"
"Format for IDE '%1' is not supported","IDE'%1'のためのフォーマットはサポートされていません"
"Client side compilation doesn't work in production mode","実稼働モードでクライアント側のコンパイルがうまくいかない"
"DHL service is not available at %s date","DHLサービスは%sの日付では有効ではありません"
"Country and Format Type combination should be unique","国とフォーマットタイプの組み合わせはユニークである必要があります"
"Something went wrong while getting the requested content.","リクエストされたコンテントの処理中にエラーが発生したため正常に処理できませんでした。"
"Provided content must be valid base64 encoded data.","提供されたコンテントは有効なbase64エンコードのデータでなければなりません"
"Number of downloads must be a positive integer.","ダウンロード数は正の数字でなければなりません"
"Link sample file not found. Please try again.","リンク先のサンプルファイルがみつかりません。もう一度お試しください。"
"Go to <a href=""%1"">My Downloadable Products</a>"," <a href=""%1"">ダウンロード商品</a>に移動"
"You have not purchased any downloadable products yet.","まだダウンロード商品をご購入いただいていません。"
"The attribute group with id ""%1"" can't be deleted.","Id ""%1"" の属性グループは削除できません。"
"This parameter is unknown. Verify and try again.","パラメータが不明です。確認して再度お試しください。"
"Admin store attribute option label ""%1"" is already exists.","管理者ストア属性オプション・ラベル ""%1"" は既に存在します。"
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","""%1"" 属性には ID ""%2""のオプションは含まれていません。"
"There is no such data mapper ""%1"" for interface %2","インターフェイス %2 に対する ""%1"" というデータマッパーはありません"
"We can't find an email template to delete.","Eメールテンプレートで削除するものがみつかりません"
"Unable to send mail. Please try again later.","メールを送信できません。後でもう一度お試しください。"
"Are you sure you want to strip tags?","このタグを外します。よろしいですか？
"
"The generated key will be displayed after changing.","自動生成したキーは変更後に表示されます。"
"Gift messages can't be used for virtual products.","ギフトメッセージを無形商品へ適用できません。(お届けを伴わないため)"
"The gift message couldn't be added to Cart.","ギフトメッセージをカートに追加できませんでした。"
"Please specify id and qty for grouped options.","グループ化されたオプションの場合は、idとqtyを指定してください。"
"There are no export file with such name %1","このような名前のエクスポートファイルはありません %1"
"There is no sample file for this entity.","このエンティティに対するサンプルファイルはありません。"
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","確認した行: %1, 確認したエンティティ: %2, 無効な行: %3, 総エラー: %4"
"This file is empty. Please try another one.","このファイルは空です。別のファイルをお試しください。"
"Make sure your file isn't more than %1M.","ファイルが%1Mを超えてないことを確認してください。"
"We can't provide the upload settings right now.","現在アップロード設定を提供できません。"
"The adapter object must be an instance of %1.","アダプターオブジェクトは%1のインスタンスでなければなりません。"
"The destination file path must be a string.","デスティネーションファイルパスはstringでなければなりません。"
"The adapter type must be a non-empty string.","アダプタータイプは空ではない文字列でなければなりません。"
"%1 index is locked by another reindex process. Skipping.","%1インデックスは別の再インデックスプロセスによってロックされています。スキップします。"
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 インデックス処理 は""Update by Schedule""モードです。"
"%1 indexer(s) are in ""Update on Save"" mode.","%1iインデックス処理は""Update on Save""モードです。"
"Shipping address is not defined for instance purchase.","このアドレスデータは購入時にお届け先アドレスとして指定できません。"
"Billing address is not defined for instance purchase.","請求先住所はインスタンス購入のために定義されていません。"
"Shipping method is not defined for instance purchase.","配送方法は、インスタンス購入のために定義されていません。"
"Uninstall the extension to remove integration '%1'.","インテグレーションを削除するためにエクステンションをアンインストール '%1'."
"Integration ID is not specified or is invalid.","インテグレーションIDが指定されなかったか無効です"
"Integration '%1' has been sent for re-authorization.","インテグレーション '%1' 再認証に送られました"
"Integration '%1' has been sent for activation.","インテグレーション '%1' アクティベーションに送られました"
"Incorrect timestamp value in the oauth_timestamp parameter","oauth_timestampパラメーターに誤ったタイムスタンプの値"
"Token is not associated with the specified consumer","トークンは特定のカスタマーと関連がありません"
"Token verifier and verifier token do not match","トークン認証と認証トークンがマッチしません"
"A consumer with the ID %1 does not exist","ID %1のカスタマーは存在しません"
"A token with consumer ID %1 does not exist","カスタマーID %1 のトークンは存在しません"
"A token with consumer ID 0 does not exist","カスタマーID 0のトークンは存在しません"
"Source with source code ""%value"" does not exist.","在庫ソースCODEが ""%value"" の在庫ソースデータが存在しません。"
"A total of %1 source(s) have been disabled.","合計 %1 個の在庫ソースが無効になっています。"
"A total of %1 source(s) have been enabled.","合計 %1 個の在庫ソースが有効化されました。"
"Selected products are not assigned to any source.","選択された商品データは、どの在庫ソースにも割り当てられていません。"
"Your request was successfully queued for asynchronous execution","お客様のリクエストは、非同期実行のため正常に配信キューに入れられました。"
"Following products with requested skus were not found: %1","リクエストされた skus を持つ次の商品がみつかりませんでした: %1"
"Following products with requested ids were not found: %1","リクエストされた ID を持つ次の商品がみつかりませんでした: %1"
"No such latitude and longitude from address provider: %1","アドレスプロバイダからそのような緯度・経度がありません。%1"
"No destination address was provided in the request","リクエストに宛先アドレスが記載されていない"
"Unable to connect google API for distance matrix","距離行列のためのgoogle APIが接続できない"
"There is no command registered for behavior ""%behavior"".","ビヘイビア ""%behavior"" に登録されたコマンドはありません。"
"The customer has been notified and shipment created.","カスタマーに通知され、配送データが作成されました。"
"""%field"" can not be empty for Pickup Location.","ピックアップ・ロケーションでは ""%field"" を空にすることはできません。"
"Index Strategy not found, please check system settings.","インデックスストラテジーがみつかりません。システムの設定を確認してください。"
"Dimension have to be instance of Dimension class.","DimensionはDimensionクラスのインスタンスである必要があります。"
"The website with code ""%code"" does not exist.","コード""%code ""を持つWebsiteは存在しません。"
"Qty of %1 should be less or equal to %2","%1 の数量は %2 以下でなければなりません。"
"There is no such Source Selection Algorithm implemented: %1","この在庫ソース選択アルゴリズムが実装されていません： %1"
"Please select a Store View to login in.","ログインする""Store View""を選択してください。"
"You have no permission to change Opt-In preference.","お客様には、Opt-Inの設定を変更する権限はありません。"
"Failed to execute the following content synchronizers: %synchronizers","次のコンテンツ・シンクロナイザの実行に失敗しました: %synchronizers"
"iptcembed() && iptcparse() must be enabled in php configuration","phpの設定でiptcembed()とiptcparse()を有効にする必要があります。"
"Could not update the image file metadata: %path","画像ファイルのメタデータを更新できませんでした: %path"
"Cannot create rendition for media asset paths: %paths","メディア・アセット・パスのレンディションを作成できません: %paths"
"Could not import media assets for files: %files","ファイル: %files のメディア・アセットをインポートできませんでした。"
"An error occurred on attempt to create folder.","フォルダーを作成しようとしたときにエラーが発生しました。"
"An error occurred on attempt to remove folder.","フォルダーを削除しようとしたときにエラーが発生しました。"
"An error occurred on attempt to delete image.","画像を削除しようとするとエラーが発生しました。"
"Could not delete ""%image"": destination directory is restricted.","""%image"" を削除できませんでした: 宛先ディレクトリが制限されています。"
"There is no such media asset with path ""%1""","パス ""%1"" を持つそのようなメディア・アセットはありません。"
"An error occurred during get media asset list: %1","メディアアセットリストの取得中にエラーが発生しました。%1"
"Could not delete media assets by paths: %paths","パス %paths :メディア・アセットをを削除できませんでした"
"Could not get media assets for paths: %paths","パス: %paths のメディア・アセットをを取得できませんでした。"
"Could not save keywords for asset ids: %ids","アセット ID のキーワードを保存できませんでした: %ids"
"Path ""%value%"" is protected and cannot be used.","パス ""%value%"" は保護されていて使用できません。"
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\).","パス「%value%」は、親ディレクトリのトラバーサル(""../"", ""..sec"")を含まない可能性があります。"
"Cannot resize image ""%1"" - original image not found","画像 ""%1"" のサイズを変更できません - 元の画像がみつかりません"
"Cannot resize images - product images not found","画像のサイズを変更できません - 商品画像がみつかりません"
"The item isn't found, or it's already ordered.","その商品は見つからないか、既に注文されています。"
"Quote address for failed order ID ""%1"" not found.","失敗した注文 ID ""%1"" の見積もりアドレスがみつかりませんでした。"
"Please select a shipping address for applicable items.","商品ごとのお届け先住所を選択してください"
"resolve any errors, and place a new order.","全てのエラーを解決し、新しい注文を行ってください。"
"Do you really want to cancel the queue?","配信キューをキャンセルしてもよろしいですか？"
"Please correct the newsletter template and try again.","メルマガテンプレートを修正して再度試してください"
"This will change your Admin and storefront by:","これにより、Adminとstorefrontは以下のように変更されます。"
"We cannot retrieve the payment method model object.","支払方法モデルオブジェクトを引き出すことができません"
"We cannot retrieve the payment info model object.","支払情報モデルオブジェクトを引き出すことができません"
"The payment method you requested is not available.","リクエストされた支払方法は有効ではありません"
"We cannot retrieve the payment information object instance.","支払情報オブジェクトインスタンスは引き出せません"
"Please enter a valid credit card verification number.","正しいカード確認番号を入力してください"
"Please enter a valid credit card expiration date.","正しいクレジットカードの有効期限を入力してください。"
"You will be redirected to the PayPal website.","PayPalWebsiteに移動します。"
"A wrong PayPal Express Checkout Token is specified.","誤ったPayPalエクスプレスチェックアウトトークンが指摘されました。"
"Your payment has been declined. Please try again.","支払が拒否されました。再度お試しください。"
"Requested payment method does not match with order.","リクエストされたお支払い方法が注文と一致しません。"
"The maximum number of child authorizations is reached.","子の権限最大数に達しました。"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH振り込み(異議申し立てのため保留か他の調査)"
"ACH Funding for Funds Recovery from Account Balance","ACHアカウント残高からのファンド回復のためのACHファンディング"
"General (Funds Transfer from PayPal Account to Another)","全般 (Paypalのアカウントから別へのファンドトランスファー)"
"Preapproved Payment (BillUser API, either sent or received","事前承認された支払 (BillUser API, 送ったか受け取りのどちらか"
"Subscription Payment, either payment sent or payment received","購読支払、支払が送れれたか受け取られたか"
"Click here to stop alerts for this product.","この商品のアラートを止めるにはここを押してください。"
"Could not find a product with SKU ""%sku""","SKUが""%sku""である商品がみつかりませんでした"
"Can't assign cart to store in different website.","カートを別のサイトのストアに割り当てることができません。"
"Required parameter ""code"" for ""payment_method"" is missing.","payment_method ""の必須パラメータ ""code ""が不足しています。"
"Required parameter ""quantity"" for ""cart_items"" is missing.","cart_items ""の必須パラメータ ""quantity ""がありません。"
"The request is allowed for logged in customer","ログインしているお客様からのリクエストは許可されます"
"Current user does not have an active cart.","現在のユーザーはアクティブなカートを持っていません。"
"The parameter ""destination_cart_id"" cannot be empty","パラメータ ""destination_cart_id ""を空にすることはできません。"
"Something went wrong during the item options declaration.","商品オプションデータの更新処理中にエラーが発生しました"
"The item couldn't be removed from the quote.","商品を見積もりから削除できませんでした。"
"Current customer does not have an active cart.","現在のカスタマーは、カートがアクティブではありません。"
"UI config provider for ""%type"" is not configured.","UI config provider ""%type""が未設定です。"
"Validation config provider for ""%type"" is not configured.","Validation config provider ""%type"" が未設定です。"
"Number of items bought from a Wish List: %1","ほしい物リストから買われた商品の数: %1"
"Guest customers aren't allowed to add product reviews.","ゲストのお客様は、商品レビューを追加することができません。"
"Something went wrong while updating these review(s).","レビューデータの更新処理中にエラーが発生しました。"
"There is no information about associated entity type ""%1"".","関連するエンティティタイプ ""%1""に関する情報はありません"
"Order number ""%1"" doesn't belong to the current customer","注文番号 ""%1"" は現在のカスタマーのものではありません。"
"Are you sure you want to delete this?","これを削除してもよろしいですか？"
"Specified rule does not allow auto generated coupons","指定のルールは自動生成のクーポンを許可しません"
"Specified rule does not allow automatic coupon generation","指定のルールは自動のクーポンの生成を許可しません。"
"Item totals are not set for the rule.","商品合計はルールのために設定されていない"
"We can't get the order instance right now.","PDF Creditmemos"
"Please correct the parent block for this block.","このBlock要素の親Block要素を修正してください"
"This product does not have any configurable options","この商品は変更できるオプションを持っていません。"
"The comment is missing. Enter and try again.","コメントがみつかりません。入力して再度お試しください。"
"We can't update the order address right now.","現在注文住所を更新できません。"
"We can't save the credit memo right now.","現在クレジットメモを保存できません。"
"We can't update the item's quantity right now.","現在商品の数量を更新できません。"
"We can't create credit memo for the order.","この注文へのクレジットメモを作成できません。"
"We can't send the email order right now.","現在Eメール注文が送れません。"
"You have not put the order on hold.","注文ステータスの保留中を解除しました"
"We can't send the invoice email right now.","現在請求書Eメールを送れません。"
"Something went wrong while assigning the order status.","注文ステータスのアサイン中にエラーが発生しました。"
"We can't add the order status right now.","現在注文ステータスを追加できません。"
"Something went wrong while saving the gift message.","ギフトメッセージデータの更新処理中にエラーが発生しました"
"Please correct the transaction ID and try again.","トランザクションIDを修正して再度試してください"
"We found an invalid quantity to refund item ""%1"".","商品""%1""を返金するには無効な数量を発見しました"
"There is no need to approve this payment.","この決済方法はオーソリの必要がありません。"
"Please set a proper payment and order id.","正しい支払と注文idを設定してください。"
"You can't do this without a transaction object.","トランザクションオブジェクトなしにこの操作は行えません"
"Parent shipment cannot be loaded for track object.","親の配送データはTrackオブジェクトにロードできません。"
"We found an invalid quantity to invoice item ""%1"".","請求書の構成商品 ""%1"" は不正な数量です。"
"The Order State ""%1"" must not be set manually.","注文状態 ""%1"" 手動でセットしてはなりません"
"You don't need to select a shipping address.","送付先住所を選択する必要はありません"
"Sorry, no quotes are available for this order.","この注文に対するQuoteデータがありません"
"You don't need to select a shipping method.","発送方法を選択する必要はありません"
"Please enter a positive number in this field.","このフィールドには正の数字を入力してください"
"Number of results (For the last time placed)","結果 (最新の結果)"
"An error was encountered while performing delete operation.","削除操作の実行中にエラーが発生しました。"
"We can't find a synonym group to delete.","削除する同義語グループがみつかりません。"
"We can't find a search term to delete.","削除する検索用語を見つけません。"
"Something went wrong while saving the search query.","検索クエリデータの更新処理中にエラーが発生しました"
"You already have an identical search term query.","すでに同じ検索タームクエリがあります"
"The value that you entered is not valid.","入力された値が不正です。"
"We can't initialize shipment for adding tracking number.","トラッキングナンバー登録のための配送データを初期化できませんでした。"
"We can't initialize shipment for delete tracking number.","伝票番号削除のために配送伝票を初期化できませんでした。"
"The ""%1"" carrier is invalid. Verify and try again.","""%1"" 配送業者が無効です。確認して再度お試しください。"
"There is no tracking available for this shipment.","この配送ではトラッキングできません"
"There was an error retrieving the customer record.","カスタマーデータの取得にエラーが発生しました。"
"Admin is a required field in each row","管理者は各行は必須フィールドです"
"We can't delete this tax rate right now.","この税レートを現在削除できません"
"An error occurred while loading this tax rate.","この税レートをロード中にエラーが発生しました"
"We can't save this tax rule right now.","この税ルールを現在保存できません"
"We can't delete this tax class right now.","現在この税クラスを削除できません"
"We can't save this tax class right now.","現在この税クラスを保存することができません"
"The ZIP Code is invalid. Use numbers only.","郵便番号が無効です。数字のみを使用してください。"
"Something is wrong with the file upload settings.","ファイルアップロード設定に問題があります"
"We can't upload the CSS file right now.","現在CSSファイルをアップロードできません"
"We can't upload the JS file right now.","現在JSファイルをアップロードできません"
"Sorry, something went wrong. That's all we know.","申し訳ありません、エラーが発生いたしました。原因調査中です。"
"The start date can't follow the end date.","開始日は終了日よりあとの日付を指定できません。"
"The CSS file must be less than %1M.","CSSファイルは%1M以下でなければなりません"
"The JS file must be less than %1M.","JSファイルは%1M以下でなければなりません"
"We found a directory with the same name.","同じ名前のディレクトリをみつけました"
"We cannot find a directory with this name.","この名前のディレクトリをみつけられません"
"JavaScript seems to be disabled in your browser.","JavaScriptがお使いのブラウザで無効になっているようです。"""
"Error while translating phrase ""%s"" in file %s.","""%s"" の %s における翻訳中にエラーが発生しました。"
"Secret for user with ID#%1 was not found","ID#%1 のユーザーのシークレットがみつかりませんでした。"
"Unknown or not enabled provider %1 for this user","このユーザに対してプロバイダ %1 が不明または有効になっていません。"
"User is not authorized to edit 2FA configuration","ユーザーは、2FA設定を編集する権限がありません。"
"All currently active providers will not be available","現在有効なすべてのプロバイダーが利用できなくなります"
"UPS API endpoint URL's must use ups.com","UPS API のエンドポイント URL は ups.com を使用する必要があります。"
"""url"" argument should be specified and not empty","""url"" 引数を指定し、空にしないでください"
"Please assign a website to the selected category.","選択したカテゴリをWebsiteにアサインしてください。"
"Something went wrong while saving the url rewrite.","URLリライトデータの更新処理中にエラーが発生しました。"
"A total of %1 record(s) haven't been deleted.","合計 %1 個のデータが削除されていません。"
"Anchor symbol (#) is not supported in request path.","アンカーシンボル (#)はリクエストパス内でサポートされていません。"
"Please specify the correct account and try again.","正しいアカウントを指定して再度お試しください。"
"""User Name"" is required. Enter and try again.","""ユーザー名 ""は必須項目です。入力後、再度お試しください。"
"""First Name"" is required. Enter and try again.","""ファーストネーム ""は必須項目です。入力後、再度お試しください。"
"""Last Name"" is required. Enter and try again.","""姓 ""は必須項目です。入力後、再度お試しください。"
"Your password has expired; please contact your administrator.","パスワードが期限切れ; 管理者に連絡してください。"
"Priority Mail Flat Rate Envelope Hold For Pickup","ピックアップ用にホールドの優先メール定額封筒"
"Priority Mail Express International Legal Flat Rate Envelope","優先メールエクスプレス国際法定定額封筒"
"Priority Mail International Gift Card Flat Rate Envelope","優先メール国際ギフトカード定額封筒"
"Priority Mail International DVD Flat Rate priced box","優先メール国際DVD定額料金のボックス"
"Priority Mail Express International Padded Flat Rate Envelope","優先メールエクスプレス国際パッド付き定額封筒"
"Could not find a token using public hash: %1","パブリックハッシュを使用したトークンがみつかりません。%1"
"Cannot perform GET operation with store code 'all'","GETオペレーションがストアコード'all'では実行できませんでした"
"Excluding FPT. Including FPT description and final price","FPT除外。 FPT詳細と最終価格含む"
"Widget(s) with ID(s) %1 were not found","ID が %1 のWidgetがみつかりませんでした。"
"No such entity with instance_id = %instance_id","instance_id = %instance_id を持つそのようなエンティティはありません。"
"The current user cannot perform operations on wishlist","現在のユーザーは「ほしい物リスト」の操作ができません。"
"Missing key ""model"" in Wishlist Item value data","Wishlist のアイテムの値のデータに ""model"" キーがありません"
"The quantity of a wishlist item cannot be 0","「ほしい物リスト」の数量を0にすることはできません。"
"We can't update your Wish List right now.","「ほしい物リスト」データを更新できませんでした。"
"We can't create the Wish List right now.","今はほしい物リストを作成できません。"
"We can't update the Wish List right now.","ほしい物リストの内容の変更ができませんでした。"
"%1 product(s) have been added to shopping cart: %2.","%1 個のアイテムがショッピングカートに追加されました: %2."
"You have no items in your wish list.","ほしい物リストは空です。"
"My billing and shipping address are the same","請求先住所は、お届け先住所と同じ"
"Enter your destination to get a shipping estimate.","お届け先を選択すると、送料の見積金額が表示されます。"
"Thank you for confirming your %store_name account.","%store_name accountをご確認ありがとうございます。"
"Your %store_name order is ready for pickup","お客様の %store_name の注文は受け取り可能です。"
"Please feel free to pickup your order now.","注文商品のお受け取りができます。お待ちしております。"
"You have been successfully subscribed to our newsletter.","メルマガの購読の希望を受付けました。"
"Thank you for your order from %store_name.","%store_name にてご注文いただきありがとうございます。"
"Your Invoice #%invoice_id for Order #%order_id","請求書No.%invoice_id(オーダーNo.%order_id)"
"Your Order <span class=""no-link"">#%increment_id</span>","オーダーNo.<span class=""no-link"">%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","注文日時：<span class=""no-link"">%created_at</span>"
"Your Shipment #%shipment_id for Order #%order_id","発送情報No.%shipment_id(オーダーNo.%order_id)"
"Take a look at %customer_name's Wish List","%customer_name さんのほしい物リストがシェアされました"
"For shipping to multiple family members and friends","複数のお届け先住所を登録管理できます。"
"Please enter a number greater 0 in this field.","0以上の数字を入力してください。"
"Method %s does not exist on jQuery.decorate","メソッド %s は jQuery.decorate に存在しません"
"The specified vehicle identification number (VIN) is invalid.","指定の vehicle identification number (VIN) は無効です"
"The value is not within the specified range.","値が指定された範囲にありません。"
"Forbidden extensions has been used. Avoid usage of ","禁制の拡張子が使用されています。の使用は避けてください。 "
"Card type does not match credit card number.","カードブランドが番号と一致しません。"
"Admin is a required field in each row.","Adminは各行に必須のフィールドです。"
"Please enter a value between {0} and {1} characters long.","{0} 文字以上 {1} 文字以下の正しい値を入力してください。"
"Please enter a date between %min and %max.","%min から %maxの間で日付を入力してください。"
"Provided Zip/Postal Code seems to be invalid.","ご入力された郵便番号は正しくないようです。"
"Here are the products you're about to create.","作成しようとしている商品は次のとおりです。"
"Please fill in the values for {section} section.","{section}セクションの値を入力してください。"
"Sorry, something went wrong. Please try again later.","エラーが発生したため正常に処理できませんでした。時間をあけて再度お試しください。"
"The following folder is going to be deleted: %1","次のフォルダが削除されます: %1"
"You need to select at least one image","少なくとも1枚の画像を選択する必要があります"
"Cannot upload ""%1"". File exceeds maximum file size limit.","""%1""をアップロードできません。ファイルが最大サイズ制限を超えています。"
"Please enter a valid credit card type number.","有効なクレジットカードのタイプ番号を入力してください。"
"Please enter a valid integer in this field.","正しい整数で入力してください。"
"The date is not within the specified range.","データが指定された範囲にありません。"
"To retry, select the items and click “Retry”.","再試行するには、項目を選択して“再試行”をクリックしてください。"
"Changing may affect SEO and cache storage consumption.","変更すると、SEOやキャッシュストレージの消費に影響する場合があります。"
"Use Static URLs for Media Content in WYSIWYG","WYSIWYGのメディアコンテンツで静的URLを使用する"
"List of Products that are set as New","新着商品リスト"
"If empty, we'll use the product name here.","空であれば、ここで商品名を使います。"
"If empty, we'll use the category name here.","空であれば、ここでカテゴリ名を使います。"
"Skip to the end of the images gallery","画像ギャラリーの最後へスキップする"
"Skip to the beginning of the images gallery","画像ギャラリーの冒頭へスキップする"
"After Adding a Product Redirect to Shopping Cart","商品を追加後にショッピングカート画面にリダイレクトする"
"If empty, the Page Title will be used","空白の場合はページタイトルが使用されます（日本語は正しく処理されません）"
"Redirect Customer to Account Dashboard after Logging in","ログイン後にマイページにリダイレクトする"
"Disable Automatic Group Change Based on VAT ID","VAT IDによるカスタマーグループの自動変更を無効にする"
"The customer does not have default billing address","このカスタマーはデフォルトの請求先を登録していません。"
"The customer does not have default shipping address","このカスタマーはデフォルトのお届け先を登録していません。"
"Package ready time after order submission (in hours).","注文送信後のパッケージ準備時間（単位：時間）。"
"Disable Guest Checkout if Cart Contains Downloadable Items","""Downloadable Product""がカートに含まれる場合はゲスト購入を無効にする"
"By default only system EAV attributes are cached.","デフォルトでは、システムEAV属性のみがキャッシュされます。"
"Order Ready For Pickup Email Template for Guest","ゲスト用のストア店頭受取できます通知メールテンプレート"
"Send Order Ready For Pickup Email Copy To","ストア店頭受取できます通知メールのコピー送信先"
"Send Order Ready For Pickup Email Copy Method","ストア店頭受取できます通知メールのコピー送信方法"
"Maximum Qty Allowed for Shipping to Multiple Addresses","複数配送で許可する最大個数"
"We could only complete part of your order.","注文手続きを正常に処理できませんでした。"
"Accept payments with a completely customizable checkout page.","完全にカスタマイズできるチェックアウトページの支払を受付"
"Process payments using your own internet merchant account.","自身のインターネットマーチャントアカウントを使って支払を処理する。"
"Ability for buyer to purchase without PayPal account.","PayPalアカウントなしで購入者に購入を行わせる"
"URL method for Cancel URL and Return URL","キャンセル URLとリターン URLのURL手法"
"Basic Settings - PayPal Payments Pro Hosted Solution","基本設定 -  PayPal Payments Proのホスティングソリューション"
